Time(ps);Dl = 0;Dl = 1;Dl = 2;Dl = 3;Dl = 4;Dl = 5;Dl = 6;Dl = 7;Dl = 8;Dl = 9;Dl = 10;Dl = 11;Dl = 12;Dl = 13;Dl = 14;Dl = 15;Dl = 16;Dl = 17;Dl = 18;Dl = 19;Dl = 20;Dl = 21;Dl = 22;Dl = 23;Dl = 24;Dl = 25;Dl = 26;Dl = 27;Dl = 28
3.124992;5.53999E-10;4.52466E-10;2.7989E-10;1.5935E-10;9.97144E-11;6.71052E-11;4.79123E-11;3.58075E-11;2.77282E-11;2.20844E-11;1.79936E-11;1.47822E-11;1.24751E-11;1.06671E-11;9.22444E-12;7.99341E-12;7.09448E-12;6.25293E-12;5.58826E-12;5.02408E-12;4.54113E-12;4.12457E-12;3.76276E-12;3.42918E-12;3.15323E-12;2.9093E-12;2.6926E-12;2.49925E-12;2.326E-12
3.222648;5.80677E-10;4.73922E-10;2.92749E-10;1.66483E-10;1.04119E-10;7.00484E-11;5.00053E-11;3.73678E-11;2.89345E-11;2.30441E-11;1.87749E-11;1.54237E-11;1.30162E-11;1.11296E-11;9.62429E-12;8.33981E-12;7.40187E-12;6.52382E-12;5.83032E-12;5.24168E-12;4.7378E-12;4.30318E-12;3.92569E-12;3.57765E-12;3.28976E-12;3.03525E-12;2.80917E-12;2.60744E-12;2.42669E-12
3.320304;6.0857E-10;4.96338E-10;3.06161E-10;1.73913E-10;1.08704E-10;7.31119E-11;5.21834E-11;3.89915E-11;3.01897E-11;2.40426E-11;1.95878E-11;1.6091E-11;1.35791E-11;1.16108E-11;1.00403E-11;8.70019E-12;7.72167E-12;6.80563E-12;6.08215E-12;5.46805E-12;4.94239E-12;4.48898E-12;4.09518E-12;3.73211E-12;3.43178E-12;3.16628E-12;2.93044E-12;2.72E-12;2.53143E-12
3.41796;6.37733E-10;5.19755E-10;3.2015E-10;1.81653E-10;1.13478E-10;7.63001E-11;5.44499E-11;4.06808E-11;3.14955E-11;2.50814E-11;2.04334E-11;1.67853E-11;1.41647E-11;1.21113E-11;1.0473E-11;9.07505E-12;8.05431E-12;7.09877E-12;6.34408E-12;5.70352E-12;5.1552E-12;4.68226E-12;4.27149E-12;3.89278E-12;3.57951E-12;3.30257E-12;3.05657E-12;2.83707E-12;2.64039E-12
3.515616;6.68219E-10;5.44215E-10;3.34739E-10;1.89714E-10;1.18447E-10;7.96177E-11;5.68079E-11;4.24382E-11;3.28539E-11;2.61619E-11;2.1313E-11;1.75073E-11;1.47738E-11;1.26319E-11;1.0923E-11;9.46494E-12;8.40028E-12;7.40364E-12;6.61651E-12;5.94842E-12;5.37653E-12;4.88327E-12;4.45485E-12;4.05987E-12;3.73315E-12;3.44432E-12;3.18776E-12;2.95883E-12;2.7537E-12
3.613272;7.00084E-10;5.6976E-10;3.4995E-10;1.98109E-10;1.23619E-10;8.30695E-11;5.92609E-11;4.42662E-11;3.42668E-11;2.72857E-11;2.22278E-11;1.82583E-11;1.54072E-11;1.31734E-11;1.13911E-11;9.8704E-12;8.76007E-12;7.72069E-12;6.89982E-12;6.20309E-12;5.6067E-12;5.0923E-12;4.64553E-12;4.23364E-12;3.89292E-12;3.59172E-12;3.32417E-12;3.08544E-12;2.87153E-12
3.710928;7.33388E-10;5.96437E-10;3.65808E-10;2.0685E-10;1.29E-10;8.66605E-11;6.18125E-11;4.61674E-11;3.57361E-11;2.84544E-11;2.31791E-11;1.90392E-11;1.60659E-11;1.37363E-11;1.18777E-11;1.0292E-11;9.13417E-12;8.05036E-12;7.1944E-12;6.46789E-12;5.84602E-12;5.30965E-12;4.8438E-12;4.41431E-12;4.05904E-12;3.74499E-12;3.46602E-12;3.21709E-12;2.99405E-12
3.808584;7.6819E-10;6.24291E-10;3.8234E-10;2.15951E-10;1.346E-10;9.03958E-11;6.44661E-11;4.81444E-11;3.7264E-11;2.96696E-11;2.41682E-11;1.98511E-11;1.67507E-11;1.43216E-11;1.23837E-11;1.07303E-11;9.52312E-12;8.3931E-12;7.50065E-12;6.74319E-12;6.09483E-12;5.53561E-12;5.04992E-12;4.60215E-12;4.23175E-12;3.90433E-12;3.61348E-12;3.35396E-12;3.12143E-12
3.90624;8.04554E-10;6.53371E-10;3.99571E-10;2.25424E-10;1.40426E-10;9.42808E-11;6.72255E-11;5.02001E-11;3.88525E-11;3.0933E-11;2.51965E-11;2.06952E-11;1.74627E-11;1.49301E-11;1.29097E-11;1.1186E-11;9.92744E-12;8.74938E-12;7.81902E-12;7.02937E-12;6.35347E-12;5.7705E-12;5.26419E-12;4.7974E-12;4.41128E-12;4.06996E-12;3.76677E-12;3.49623E-12;3.25383E-12
4.003896;8.42546E-10;6.83727E-10;4.17528E-10;2.35285E-10;1.46486E-10;9.83208E-11;7.00946E-11;5.23373E-11;4.05039E-11;3.22463E-11;2.62654E-11;2.15726E-11;1.82027E-11;1.55626E-11;1.34564E-11;1.16596E-11;1.03477E-11;9.11971E-12;8.14992E-12;7.32683E-12;6.6223E-12;6.01464E-12;5.48689E-12;5.00035E-12;4.59788E-12;4.24211E-12;3.92609E-12;3.64411E-12;3.39145E-12
4.101552;8.82234E-10;7.15413E-10;4.36241E-10;2.45547E-10;1.5279E-10;1.02522E-10;7.30775E-11;5.4559E-11;4.22205E-11;3.36113E-11;2.73763E-11;2.24845E-11;1.89718E-11;1.62199E-11;1.40246E-11;1.21518E-11;1.07845E-11;9.50458E-12;8.49382E-12;7.63596E-12;6.90168E-12;6.26837E-12;5.71834E-12;5.21125E-12;4.79181E-12;4.42102E-12;4.09166E-12;3.79778E-12;3.53447E-12
4.199208;9.2369E-10;7.48481E-10;4.55737E-10;2.56226E-10;1.59345E-10;1.06889E-10;7.6178E-11;5.68681E-11;4.40045E-11;3.503E-11;2.85309E-11;2.34322E-11;1.9771E-11;1.6903E-11;1.46151E-11;1.26633E-11;1.12383E-11;9.90451E-12;8.85117E-12;7.95718E-12;7.19199E-12;6.53202E-12;5.95884E-12;5.43041E-12;4.99331E-12;4.60693E-12;4.26371E-12;3.95747E-12;3.68308E-12
4.296864;9.66986E-10;7.82988E-10;4.76048E-10;2.67337E-10;1.66161E-10;1.11429E-10;7.94006E-11;5.92679E-11;4.58584E-11;3.65042E-11;2.97306E-11;2.44169E-11;2.06015E-11;1.76127E-11;1.52286E-11;1.31947E-11;1.17099E-11;1.032E-11;9.22246E-12;8.29094E-12;7.49362E-12;6.80595E-12;6.20871E-12;5.65811E-12;5.20268E-12;4.80008E-12;4.44247E-12;4.12338E-12;3.83748E-12
4.39452;1.0122E-09;8.18993E-10;4.97205E-10;2.78895E-10;1.73248E-10;1.16148E-10;8.27496E-11;6.17615E-11;4.77847E-11;3.80358E-11;3.09771E-11;2.54399E-11;2.14643E-11;1.83501E-11;1.5866E-11;1.37469E-11;1.21998E-11;1.07517E-11;9.60818E-12;8.63766E-12;7.80697E-12;7.09052E-12;6.4683E-12;5.89466E-12;5.42017E-12;5.00074E-12;4.62817E-12;4.29574E-12;3.99788E-12
4.492176;1.05941E-09;8.56556E-10;5.19241E-10;2.90919E-10;1.80615E-10;1.21052E-10;8.62295E-11;6.43524E-11;4.9786E-11;3.9627E-11;3.22719E-11;2.65026E-11;2.23605E-11;1.9116E-11;1.6528E-11;1.43204E-11;1.27087E-11;1.12001E-11;1.00088E-11;8.99781E-12;8.13246E-12;7.38611E-12;6.73793E-12;6.14037E-12;5.64609E-12;5.20917E-12;4.82106E-12;4.47477E-12;4.16449E-12
